site_id,site_dir,ok,step,msg
EG_0001,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0001,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0002,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0002,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0003,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0003,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0004,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0004,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0005,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0005,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0006,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0006,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0007,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0007,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0008,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0008,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0009,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0009,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0010,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0010,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0011,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0011,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0012,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0012,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0013,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0013,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0014,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0014,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0015,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0015,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0016,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0016,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0017,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0017,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0018,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0018,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0019,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0019,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0020,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0020,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0021,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0021,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0022,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0022,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0023,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0023,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0024,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0024,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0025,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0025,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0026,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0026,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0027,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0027,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0028,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0028,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0029,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0029,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0030,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0030,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0031,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0031,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0032,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0032,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0033,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0033,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0034,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0034,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0035,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0035,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0036,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0036,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0037,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0037,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0038,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0038,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0039,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0039,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0040,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0040,FALSE,read_db,DB exists but no non-empty Report table found.
EG_0041,D:/APSIMICARDATraining/AnotherFullScript/EG_Maize_CMIP6_FULL/coarse/EG_0041,FALSE,read_db,DB exists but no non-empty Report table found.
